	Year	Month	Categories	Number of Operations
738	2009	2	Security Delay	118.69
739	2010	2	Security Delay	315.01
740	2011	2	Security Delay	210.28
741	2012	2	Security Delay	128.86
742	2013	2	Security Delay	123.31
743	2014	2	Security Delay	105.57
744	2015	2	Security Delay	111.35
745	2004	3	Security Delay	279.75
746	2005	3	Security Delay	458.67
747	2006	3	Security Delay	474.37
748	2007	3	Security Delay	395.83
749	2008	3	Security Delay	457.29
750	2009	3	Security Delay	197.84
751	2010	3	Security Delay	332.13
752	2011	3	Security Delay	203.3
753	2012	3	Security Delay	124.24
754	2013	3	Security Delay	200.5
755	2014	3	Security Delay	111.74
756	2015	3	Security Delay	149.04
757	2004	4	Security Delay	260.49
758	2005	4	Security Delay	218.76
759	2006	4	Security Delay	460.5
760	2007	4	Security Delay	386.61
761	2008	4	Security Delay	240.05
762	2009	4	Security Delay	146.36
763	2010	4	Security Delay	231.34
764	2011	4	Security Delay	227.94
765	2012	4	Security Delay	120.36
766	2013	4	Security Delay	199.63
767	2014	4	Security Delay	112.58
768	2015	4	Security Delay	96.66
769	2004	5	Security Delay	236.61
770	2005	5	Security Delay	183.63
771	2006	5	Security Delay	233.77
772	2007	5	Security Delay	348.07
773	2008	5	Security Delay	255.51
774	2009	5	Security Delay	169.78
775	2010	5	Security Delay	184.27
776	2011	5	Security Delay	235.04
777	2012	5	Security Delay	175.75
778	2013	5	Security Delay	171.49
779	2014	5	Security Delay	147.65
780	2015	5	Security Delay	142.48
781	2004	6	Security Delay	422.19
782	2005	6	Security Delay	299.69
783	2006	6	Security Delay	330.26
784	2007	6	Security Delay	585.26
785	2008	6	Security Delay	294.52
786	2009	6	Security Delay	237.61
787	2010	6	Security Delay	210.64
788	2011	6	Security Delay	232.89
789	2012	6	Security Delay	197.22
790	2013	6	Security Delay	216.21
791	2014	6	Security Delay	163.54
792	2015	6	Security Delay	168.72
793	2004	7	Security Delay	407.24
794	2005	7	Security Delay	407.75
795	2006	7	Security Delay	322.09
796	2007	7	Security Delay	637.22
797	2008	7	Security Delay	317.05
798	2009	7	Security Delay	212.57
799	2010	7	Security Delay	258.71
800	2011	7	Security Delay	143.03
801	2012	7	Security Delay	211.23
802	2013	7	Security Delay	218.49
803	2014	7	Security Delay	155.43
804	2015	7	Security Delay	182.79
805	2004	8	Security Delay	371.32
806	2005	8	Security Delay	472.32
807	2006	8	Security Delay	1713.44
808	2007	8	Security Delay	519.29
809	2008	8	Security Delay	219.05
810	2009	8	Security Delay	262.19
811	2010	8	Security Delay	220.24
812	2011	8	Security Delay	198.34
813	2012	8	Security Delay	242.04
814	2013	8	Security Delay	218.55
815	2014	8	Security Delay	175.71
816	2015	8	Security Delay	252.92
817	2004	9	Security Delay	383.87
818	2005	9	Security Delay	203.14
819	2006	9	Security Delay	358.3
820	2007	9	Security Delay	271.03
821	2008	9	Security Delay	123.8
822	2009	9	Security Delay	102.67
823	2010	9	Security Delay	106.7
824	2011	9	Security Delay	128.97
825	2012	9	Security Delay	134.58
826	2013	9	Security Delay	144.33
827	2014	9	Security Delay	134.22
828	2015	9	Security Delay	148.31
829	2004	10	Security Delay	321
830	2005	10	Security Delay	201.85
831	2006	10	Security Delay	381.55
832	2007	10	Security Delay	286.6
833	2008	10	Security Delay	151.8
834	2009	10	Security Delay	185.44
835	2010	10	Security Delay	182.3
836	2011	10	Security Delay	134.85
837	2012	10	Security Delay	149.42
838	2013	10	Security Delay	132.5
839	2014	10	Security Delay	94.52
840	2015	10	Security Delay	83.9
841	2004	11	Security Delay	391.3
842	2005	11	Security Delay	180.44
843	2006	11	Security Delay	311.5
844	2007	11	Security Delay	232.47
845	2008	11	Security Delay	124.68
846	2009	11	Security Delay	70.1
847	2010	11	Security Delay	168.8
848	2011	11	Security Delay	123.98
849	2012	11	Security Delay	113.99
850	2013	11	Security Delay	251.31
851	2014	11	Security Delay	104.04
852	2015	11	Security Delay	168.56
853	2004	12	Security Delay	809.53
854	2005	12	Security Delay	547.57
855	2006	12	Security Delay	617.31
856	2007	12	Security Delay	513.13
857	2008	12	Security Delay	358.01
858	2009	12	Security Delay	415.68
859	2010	12	Security Delay	409.82
860	2011	12	Security Delay	133.49
861	2012	12	Security Delay	265.37
862	2013	12	Security Delay	262.22
863	2014	12	Security Delay	191.89
864	2015	12	Security Delay	296.77
865	2004	1	Late Arrival Delay	33466.32
866	2005	1	Late Arrival Delay	42639.39
867	2006	1	Late Arrival Delay	32581.57
868	2007	1	Late Arrival Delay	48959.92
869	2008	1	Late Arrival Delay	50929.57
870	2009	1	Late Arrival Delay	33485.22
871	2010	1	Late Arrival Delay	31607.82
872	2011	1	Late Arrival Delay	35588.09
873	2012	1	Late Arrival Delay	23967.53
874	2013	1	Late Arrival Delay	30679.36
875	2014	1	Late Arrival Delay	46598.98
876	2015	1	Late Arrival Delay	34345.34
877	2004	2	Late Arrival Delay	31689.46
878	2005	2	Late Arrival Delay	31949.52
879	2006	2	Late Arrival Delay	36771.38
880	2007	2	Late Arrival Delay	54134.68
881	2008	2	Late Arrival Delay	55427.13
882	2009	2	Late Arrival Delay	23406.61
883	2010	2	Late Arrival Delay	32210.83
884	2011	2	Late Arrival Delay	33896.73
885	2012	2	Late Arrival Delay	20106.89
886	2013	2	Late Arrival Delay	30063.49
887	2014	2	Late Arrival Delay	39140.38
888	2015	2	Late Arrival Delay	33322.07
889	2004	3	Late Arrival Delay	30556.63
890	2005	3	Late Arrival Delay	39875.37
891	2006	3	Late Arrival Delay	44930.16
892	2007	3	Late Arrival Delay	51687.28
893	2008	3	Late Arrival Delay	54629.32
894	2009	3	Late Arrival Delay	36157.86
895	2010	3	Late Arrival Delay	35299.92
896	2011	3	Late Arrival Delay	39037.27
897	2012	3	Late Arrival Delay	32110.37
898	2013	3	Late Arrival Delay	38373.42
899	2014	3	Late Arrival Delay	40757.29
900	2015	3	Late Arrival Delay	34577.51
901	2004	4	Late Arrival Delay	26703.63
902	2005	4	Late Arrival Delay	25843.77
903	2006	4	Late Arrival Delay	39986.48
904	2007	4	Late Arrival Delay	45671.96
905	2008	4	Late Arrival Delay	38945.2
906	2009	4	Late Arrival Delay	33280.49
907	2010	4	Late Arrival Delay	24928.16
908	2011	4	Late Arrival Delay	42340.27
909	2012	4	Late Arrival Delay	23177.94
910	2013	4	Late Arrival Delay	43496.55
911	2014	4	Late Arrival Delay	36135.82
912	2015	4	Late Arrival Delay	28693.24
913	2004	5	Late Arrival Delay	34400.35
914	2005	5	Late Arrival Delay	27836.37
915	2006	5	Late Arrival Delay	41294.23
916	2007	5	Late Arrival Delay	42370.72
917	2008	5	Late Arrival Delay	38731.78
918	2009	5	Late Arrival Delay	31921.77
919	2010	5	Late Arrival Delay	35160.12
920	2011	5	Late Arrival Delay	40131.16
921	2012	5	Late Arrival Delay	28845.11
922	2013	5	Late Arrival Delay	40188.4
923	2014	5	Late Arrival Delay	40838.42
924	2015	5	Late Arrival Delay	32919.97
925	2004	6	Late Arrival Delay	45782.56
926	2005	6	Late Arrival Delay	44242.79
927	2006	6	Late Arrival Delay	51885.59
928	2007	6	Late Arrival Delay	63213.23
929	2008	6	Late Arrival Delay	53921.58
930	2009	6	Late Arrival Delay	42046.68
931	2010	6	Late Arrival Delay	44806.04
932	2011	6	Late Arrival Delay	43080.98
933	2012	6	Late Arrival Delay	36799.37
934	2013	6	Late Arrival Delay	59085.04
935	2014	6	Late Arrival Delay	52407.9
936	2015	6	Late Arrival Delay	44390.9
937	2004	7	Late Arrival Delay	42829.5
938	2005	7	Late Arrival Delay	55387.43
939	2006	7	Late Arrival Delay	52013.07
940	2007	7	Late Arrival Delay	64039.29
941	2008	7	Late Arrival Delay	45006.52
942	2009	7	Late Arrival Delay	42516.58
943	2010	7	Late Arrival Delay	46398.99
944	2011	7	Late Arrival Delay	43715.41
945	2012	7	Late Arrival Delay	49209.54
946	2013	7	Late Arrival Delay	57028.33
947	2014	7	Late Arrival Delay	46935.77
948	2015	7	Late Arrival Delay	42465.66
949	2004	8	Late Arrival Delay	39298.73
950	2005	8	Late Arrival Delay	44496.22
951	2006	8	Late Arrival Delay	47194.11
952	2007	8	Late Arrival Delay	60565.1
953	2008	8	Late Arrival Delay	38693.23
954	2009	8	Late Arrival Delay	36649.65
955	2010	8	Late Arrival Delay	36529.84
956	2011	8	Late Arrival Delay	35913.91
957	2012	8	Late Arrival Delay	41526.53
958	2013	8	Late Arrival Delay	45221.39
959	2014	8	Late Arrival Delay	40431.98
960	2015	8	Late Arrival Delay	34757.3
961	2004	9	Late Arrival Delay	20461.92
962	2005	9	Late Arrival Delay	24689.23
963	2006	9	Late Arrival Delay	39599.49
964	2007	9	Late Arrival Delay	31928.36
965	2008	9	Late Arrival Delay	19557.1
966	2009	9	Late Arrival Delay	19802.12
967	2010	9	Late Arrival Delay	24192.95
968	2011	9	Late Arrival Delay	25525.87
969	2012	9	Late Arrival Delay	28046.21
970	2013	9	Late Arrival Delay	29652.43
971	2014	9	Late Arrival Delay	28502.93
972	2015	9	Late Arrival Delay	19514.45
973	2004	10	Late Arrival Delay	32084.11
974	2005	10	Late Arrival Delay	29691.49
975	2006	10	Late Arrival Delay	48846.99
976	2007	10	Late Arrival Delay	41682.54
977	2008	10	Late Arrival Delay	21789.94
978	2009	10	Late Arrival Delay	38309.12
979	2010	10	Late Arrival Delay	30194.87
980	2011	10	Late Arrival Delay	23202.01
981	2012	10	Late Arrival Delay	31592.89
982	2013	10	Late Arrival Delay	31027.06
983	2014	10	Late Arrival Delay	33720.66
984	2015	10	Late Arrival Delay	19466.64
985	2004	11	Late Arrival Delay	33890.57
986	2005	11	Late Arrival Delay	29515.74
987	2006	11	Late Arrival Delay	39661.88
988	2007	11	Late Arrival Delay	36729
989	2008	11	Late Arrival Delay	25073.02
990	2009	11	Late Arrival Delay	16439.64
991	2010	11	Late Arrival Delay	29407.18
992	2011	11	Late Arrival Delay	22541.85
993	2012	11	Late Arrival Delay	23871.23
994	2013	11	Late Arrival Delay	29113.45
995	2014	11	Late Arrival Delay	31048.63
996	2015	11	Late Arrival Delay	24237.54
997	2004	12	Late Arrival Delay	49257.72
998	2005	12	Late Arrival Delay	46822.47
999	2006	12	Late Arrival Delay	54201.11
1000	2007	12	Late Arrival Delay	66946.17
1001	2008	12	Late Arrival Delay	60676.33
1002	2009	12	Late Arrival Delay	45693.44
1003	2010	12	Late Arrival Delay	49535.93
1004	2011	12	Late Arrival Delay	25627.07
1005	2012	12	Late Arrival Delay	42275.78
1006	2013	12	Late Arrival Delay	58157.91
1007	2014	12	Late Arrival Delay	42110.3
1008	2015	12	Late Arrival Delay	36624.32
